type,title,author,content,date,push_tag,original_title
article,a6000200 (aa),a6000200 (aa),: 我奈米信用卡戶也被邀請  條件很謎,Fri Dec 15 14:15:04 2023,,[問題] 星展銀行開戶要200萬？
comment,,alex1973,": 星禧數位帳戶 自己線上開, 正常都會開成功",12/15 14:17,→,[問題] 星展銀行開戶要200萬？
comment,,TZUYIC,: 他們只想開豐盛理財，星禧數位帳戶也是給豐盛理財客戶開的,12/15 14:23,推,[問題] 星展銀行開戶要200萬？
comment,,TZUYIC,: 豐盛理財的最低標準是資產200萬元～,12/15 14:23,→,[問題] 星展銀行開戶要200萬？
comment,,mars1318,: 一堆信用卡隨便都有2%甚至有3%的回饋,12/15 14:36,推,[問題] 星展銀行開戶要200萬？
comment,,mars1318,: 為何一定要用星展？,12/15 14:36,→,[問題] 星展銀行開戶要200萬？
comment,,willieliu,: 不然你以為為什麼合併前會有人建議衝個花旗數帳,12/15 14:52,推,[問題] 星展銀行開戶要200萬？
comment,,willieliu,: 只是現在來不及了 嘻嘻☺,12/15 14:53,→,[問題] 星展銀行開戶要200萬？
comment,,iamhsg,: 咦?我奈米戶有收到星禧數位帳戶的邀請申辦email耶~,12/15 15:05,推,[問題] 星展銀行開戶要200萬？
comment,,PitzMan,: 吉鶴卡也是2%,12/15 15:18,推,[問題] 星展銀行開戶要200萬？
comment,,TZUYIC,: 哦哦，政策改了嗎？,12/15 15:22,推,[問題] 星展銀行開戶要200萬？
comment,,a0989876,: 以前有送新加坡航空金卡 現在什麼都沒有 誰要放,12/15 16:07,推,[問題] 星展銀行開戶要200萬？
comment,,catuncle1,: 這就是當時花旗要賣時，我就認為金管會只鎖定外商銀行,12/15 16:45,→,[問題] 星展銀行開戶要200萬？
comment,,catuncle1,: 因為對象不一樣，帳戶合併會天下大亂,12/15 16:45,→,[問題] 星展銀行開戶要200萬？
comment,,m58096,: 我線上申請顯示 您因某些原因無法申請（傻眼,12/15 17:32,推,[問題] 星展銀行開戶要200萬？
comment,,zjk4451,: 外商銀行去現場都會贏只要理財戶 滙豐要300,12/15 18:08,推,[問題] 星展銀行開戶要200萬？
comment,,zjk4451,: 網路開數位帳戶看看,12/15 18:09,→,[問題] 星展銀行開戶要200萬？
comment,,sam200002,: 吉鶴不好用，單筆金額計算，無條件捨去,12/15 18:15,推,[問題] 星展銀行開戶要200萬？
comment,,PitzMan,: 是唷~吉鶴是這樣唷，感謝樓上告知，之後刷的時候要注意,12/15 18:34,推,[問題] 星展銀行開戶要200萬？
comment,,PitzMan,: 刷卡金額了XD,12/15 18:34,→,[問題] 星展銀行開戶要200萬？
comment,,podoioco,: 辦聯邦line bank聯名卡不就好了@@，而且2%是四捨五入，,12/15 19:16,推,[問題] 星展銀行開戶要200萬？
comment,,podoioco,: 不是無條件捨去。,12/15 19:16,→,[問題] 星展銀行開戶要200萬？
comment,,ssaymssik,: 沒二百萬還想拿2%，你小看星展了,12/15 19:22,→,[問題] 星展銀行開戶要200萬？
comment,,PitzMan,: XD,12/15 19:56,推,[問題] 星展銀行開戶要200萬？
