type,title,author,content,date,push_tag,original_title
article,kashima228 (承),kashima228 (承),: 兩百萬而已是覺得自己多大戶 笑爛 銀行根本不缺,Fri Feb 17 14:24:53 2023,,[心得] 星展開戶失敗記
comment,,bryanwang,: 去花旗開戶，反正今年就併入星展。,02/17 14:27,推,[心得] 星展開戶失敗記
comment,,ultradev,: 星展蠻「務實」的，分行數砍得剩好少,02/17 14:28,推,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 因為怕詐騙人頭戶關係 所以現在開實體戶就是這麼嚴格,02/17 14:28,推,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 沒地緣又沒薪資就是很難開成功的,02/17 14:29,→,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 刷卡當下就會轉錢 自扣沒優惠的話 就直接轉進卡費的,02/17 14:31,推,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 帳戶裡不就好了？ XD,02/17 14:32,→,[心得] 星展開戶失敗記
comment,,kashima228,: 信用卡卡號能當繳費帳號？還真的是第一次聽到…,02/17 14:33,→,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 卡費帳單裡會寫ATM轉帳繳款的帳號 就是直接轉那個啊~,02/17 14:43,→,[心得] 星展開戶失敗記
comment,,YukiTW,: 開戶從好幾年前就很嚴了，反洗錢方案,02/17 14:43,推,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 「怕詐騙人頭戶關係」 怕你無業申請拿來賣給詐騙集團,02/17 14:44,→,[心得] 星展開戶失敗記
comment,,YukiTW,: 現在都是要用薪轉或是開證券戶扣款當理由才行,02/17 14:44,→,[心得] 星展開戶失敗記
comment,,ultradev,: 用卡號當繳款帳號的還蠻多家的,02/17 14:44,推,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 看來你很久沒開實體戶過了 反正自扣沒多的優惠的話,02/17 14:45,→,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 就先紙本申請他家自扣吧～,02/17 14:45,→,[心得] 星展開戶失敗記
comment,,willieliu,: 其實就是要婉拒你開戶 只是你沒聽懂而已,02/17 14:52,推,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 有些是身份證字號前面再補某些數字 有些是卡號 有些,02/17 15:00,推,[心得] 星展開戶失敗記
comment,,Kazamatsuri,: 有特別的帳號 總之帳單下面都會寫轉帳要轉哪個帳戶,02/17 15:00,→,[心得] 星展開戶失敗記
