type,title,author,content,date,push_tag,original_title
article,naifing (咕嚕咕嚕~),naifing (咕嚕咕嚕~),: 金管會有屁用？都數十年過去了，也不見詐騙集團變少啊,Sat Apr 29 14:22:17 2023,,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,aljust12,: 玉山直接開數位轉實體 然後再開個數位 兩個帳號一次滿足,04/29 14:55,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,aljust12,: 我就是這樣開的 玉山帳號規則是看分行排序 沒有區別開來,04/29 14:56,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,HOLAHOJIAN,: 作為儲蓄用途這很難過。詐騙集團也愛用這些理由，況且,04/29 15:03,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,HOLAHOJIAN,: 你還有其他帳戶。對銀行來說開到人頭帳戶還要被金管會,04/29 15:03,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,HOLAHOJIAN,: 喝咖啡，怪罪銀行不好好審核，銀行當然就越來越刁，看,04/29 15:03,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,HOLAHOJIAN,: 看最近的中信。薪轉戶會過正常,04/29 15:03,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,qqplusqq,: 好奇問一下玉山數位轉實體，分行會固定嗎？我同一天去,04/29 15:18,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,qqplusqq,: 同一個分行辦理台外幣轉實體，結果拿到存摺是不同分行,04/29 15:18,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,qqplusqq,: ，覺得神奇。,04/29 15:18,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lianpig5566,: 玉山數位帳戶的科目別不一樣吧,04/29 15:54,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lianpig5566,: 一般帳戶是979或其他 數位帳戶是976,04/29 15:55,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,hsupeter92,: 數位轉實體原開戶行不變，玉山的數位戶開戶行是戶籍,04/29 16:13,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,hsupeter92,: 地附近的分行隨便指派一個,04/29 16:13,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 所以你就是開爽的，開了都沒在用也不痛，兩家擋你都滿,04/29 16:26,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 合理的啊,04/29 16:26,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 玉山慢慢變成不想要過路客這種沒貢獻度的客人，對於沒,04/29 16:26,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 什麼錢又只想用帳戶來存錢的人來說它只會愈來愈g8,04/29 16:26,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 其實開戶時強迫看個影片宣導賣帳戶要關幾年，再簽聲明,04/29 16:26,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 書畫押，對那些生活困難賣帳戶的中下層應該就有一定的,04/29 16:26,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 嚇阻力了，畢竟會賣的法律觀念通常很薄弱。不過銀行愛,04/29 16:26,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 面子不太可能這樣作。只在存摺加警語太嫩了，而且又醜,04/29 16:26,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 玉山連恢復往來都要照會，有個好幾年沒用的玉山戶頭,04/29 16:40,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 因為薪轉去申請補發存摺居然說無法照會新公司的話不行,04/29 16:41,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 不然你是要當場銷戶嗎? 已經開好好幾年的戶頭耶= =,04/29 16:41,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,naifing,: 薪轉照會我倒覺得還好，反正轉帳時就有資料了,04/29 16:51,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,naifing,: 只是覺得玉山的態度讓人很度爛,04/29 16:51,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 不是，他是說聯絡不到人資的話就無法補發存摺,04/29 16:51,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 所以如果遺失存摺又不是因為要薪轉的話那帳號就不能用,04/29 16:56,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,naifing,: 如果金管會有管到服務這塊，我應該會客訴玉山客到他手軟,04/29 16:58,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lianpig5566,: lattecafe那個可以去投訴金管會了,04/29 17:06,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 簡單說他就是在驗證你是不是在騙，因為閒置帳戶拿去賣,04/29 17:07,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 也是一個大宗。你說因為薪轉，那當然驗證方式就是照會,04/29 17:07,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 公司。如果真的是薪轉，怎會有照會不到的情形? 如果不,04/29 17:07,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 是薪轉，那一開始就不要用騙的講薪轉。,04/29 17:07,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 不要說補發被擋不可能。你有注意過換發存摺後台要蓋多,04/29 17:07,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 少章嗎?,04/29 17:07,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 午休聯絡的到人資嗎? 所以你上班隨時都可以出去嗎?,04/29 17:09,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: paypal 錢可以轉其他銀行帳戶，也不是非玉山不可,04/29 17:10,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 你有強力的證明是我欺騙行員嗎? 這個我想跟板主投訴你,04/29 17:11,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 我不曉得你想投訴什麼，不過那是你的自由。,04/29 17:27,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 要怪去怪詐騙橫行吧，不然銀行那會想搞得這麼麻煩,04/29 17:30,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 你前面不是一口咬定我欺騙行員嗎? 你有證據講這種話嗎?,04/29 17:30,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 詐騙不管有多少都不是你這種無的放矢態度的合理理由,04/29 17:31,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,cytochrome,: 行員：我就是不讓你開戶，不要太不滿，要怪怪病毒,04/29 17:36,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 不知道是不是玉山行員，如果是的話那原po生氣是應該的,04/29 17:37,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 整間銀行的教育訓練不知道是什麼東西，口氣超惡劣,04/29 17:37,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 人不在現場、根本不知道當時情況就只知道亂懷疑人,04/29 17:38,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 又不是每個人都缺錢缺到只想賣帳號，莫名其妙,04/29 17:39,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,cytochrome,: 你客戶要自己想辦法證明你不是詐騙阿，不然我一律當,04/29 17:39,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,cytochrome,: 你是詐騙，刁難只是剛好,04/29 17:39,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 本來沒有想投訴金管會，反正面對投訴就說你的自由,04/29 17:46,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,svcc,: 感謝EE園區,04/29 17:47,推,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,lattecafe,: 那就當害到行員，我寫信去問金管會補發存摺這件事情,04/29 17:49,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,sinclaireche,: 玉山初次領摺跟轉一般帳戶的表單是同一張,04/29 18:03,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,sinclaireche,: 而開戶也的確有聯徵啊,04/29 18:04,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,sinclaireche,: 現在好幾家都會勸退你開實體,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 幫你省些事 https://bit.ly/3AEBPPy,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 法規名稱：中華民國銀行公會防杜人頭帳戶範本,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 時間：中華民國105年2月19日,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 一、臨櫃面（臨櫃應注意事項）：,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: （一）觀察：確實認識客戶，參考下列特徵判斷是否疑似,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 人頭帳戶。,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 5.申請存款相關服務性業務時之異常舉止：,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,:          (3)長時間未往來，突然來行辦理存摺、金融卡,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 、印鑑掛失補發等，問其原因，無法提出合理解釋或言詞,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: 閃爍。,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,prussian,: https://i.imgur.com/5RKc5yd.jpg,04/29 18:05,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,sinclaireche,: 去某幾家銀行辦業務 只要聯徵稍微花一點 就會被勸,04/29 18:06,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,sinclaireche,: 退,04/29 18:06,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
comment,,sinclaireche,: 有一些銀行開戶除了薪轉 最願意收的就是貸款,04/29 18:07,→,Re: [心得] 台中銀行非常保守，預約開戶被拒絕了 XD
