title,author,date,link,push_count
Re: [情報] 土銀112年數位存款優惠專案,andy0055,1/06,https://www.ptt.cc/bbs/Bank_Service/M.1672939724.A.92E.html,18
[問題] 可以只用手機轉美元？,Takadanobaba,1/06,https://www.ptt.cc/bbs/Bank_Service/M.1672957527.A.8B0.html,3
[情報] 玉山舊戶可以申辦數位帳戶了,peterkan,1/06,https://www.ptt.cc/bbs/Bank_Service/M.1672989614.A.217.html,27
[情報] 合庫金作「合粉樂園營業中」發獎,medama,1/06,https://www.ptt.cc/bbs/Bank_Service/M.1672989808.A.18B.html,29
[問題]  幫看看中國信託轉帳明細真偽(企業戶),Haley,1/06,https://www.ptt.cc/bbs/Bank_Service/M.1672998121.A.3AD.html,17
[心得] 國泰世華KOKO加開實體戶-失敗,Subscript9,1/06,https://www.ptt.cc/bbs/Bank_Service/M.1673002194.A.328.html,15
[心得] KOKO APP轉換CUBE APP的問題解法大全,fishmiu1226,1/06,https://www.ptt.cc/bbs/Bank_Service/M.1673007236.A.67A.html,25
[情報] 華南SnY推薦活動,rtwodtwo,1/06,https://www.ptt.cc/bbs/Bank_Service/M.1673012969.A.EB5.html,34
[新聞] 中信銀行員成詐騙集團共犯 提高轉帳額度疑幫洗錢,ykkdc,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673050835.A.0B8.html,8
[問題] 國泰KOKO金融卡刷卡通知沒辦法設定嗎？,Peter03,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673055587.A.9D5.html,4
[問題] 推薦開行號戶頭的銀行?,asdf7168,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673056514.A.4F3.html,3
[問題] 銀行辦以下業務是否需要查調聯徵,a19880208,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673069912.A.3B0.html,8
[情報] New New Bank 台幣活存最高8%～8大優惠,federerfan,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673071879.A.49F.html,56
